iter	RMSE
0	40.38854982
1	40.3878056
2	40.38759924
3	40.38670017
4	40.38654048
5	40.38611591
6	40.38581886
7	40.38410036
8	40.38330066
9	40.38299599
10	40.381544
11	40.381544
12	40.38074774
13	40.37990507
14	40.3789629
15	40.37772507
16	40.37659172
17	40.37560095
18	40.37450692
19	40.37440388
20	40.37425995
21	40.37376691
22	40.37303935
23	40.37195637
24	40.37105772
25	40.36999117
26	40.36845442
27	40.36801044
28	40.36727257
29	40.36683978
30	40.3666936
31	40.3646926
32	40.36412524
33	40.36401438
34	40.36315572
35	40.36191088
36	40.36139378
37	40.36044636
38	40.36042627
39	40.35891634
40	40.35861012
41	40.35808824
42	40.35743596
43	40.35737669
44	40.35682028
45	40.35677887
46	40.3567719
47	40.35457635
48	40.35452218
49	40.35439521
50	40.35337954
51	40.3525447
52	40.35151904
53	40.3510065
54	40.35034591
55	40.34970548
56	40.34874478
57	40.34830668
58	40.34742773
59	40.34742773
60	40.34696545
61	40.34570361
62	40.34561213
63	40.34498527
64	40.34498433
65	40.34387717
66	40.34387683
67	40.34315267
68	40.34267702
69	40.34230945
70	40.34219158
71	40.34197272
72	40.34164975
73	40.34162216
74	40.34004794
75	40.33957491
76	40.33838541
77	40.33732638
78	40.33732499
79	40.33731129
80	40.33645123
81	40.33597582
82	40.33529846
83	40.33529845
84	40.33529844
85	40.33518821
86	40.33502526
87	40.33428698
88	40.33403603
89	40.33403602
90	40.3338639
91	40.33359782
92	40.33347157
93	40.33335927
94	40.33335927
95	40.33232011
96	40.33104276
97	40.3310425
98	40.32955407
99	40.3294469
100	40.32919493
101	40.32904779
102	40.32769993
103	40.32670407
104	40.32517804
105	40.32504971
106	40.32450059
107	40.32425828
108	40.3239481
109	40.3229894
110	40.32284992
111	40.32260977
112	40.32201987
113	40.32189368
114	40.32155454
115	40.32153432
116	40.32033633
117	40.31971376
118	40.31971375
119	40.31810846
120	40.31726873
121	40.31726873
122	40.31658605
123	40.31575356
124	40.31546557
125	40.31485209
126	40.31381176
127	40.31310628
128	40.31227077
129	40.31206582
130	40.31181028
131	40.31152173
132	40.31093778
133	40.3099902
134	40.30986585
135	40.30838368
136	40.30814885
137	40.30813742
138	40.30789574
139	40.30780442
140	40.30700155
141	40.30692046
142	40.30692045
143	40.30614013
144	40.30558757
145	40.30558756
146	40.30510572
147	40.30509713
148	40.30478659
149	40.30478659
150	40.3045332
151	40.30449045
152	40.30417335
153	40.30416012
154	40.30351613
155	40.30216807
156	40.30215327
157	40.30208796
158	40.30101797
159	40.30060049
160	40.30055873
161	40.30003999
162	40.29981223
163	40.29979705
164	40.29979569
165	40.2988636
166	40.29798867
167	40.29797659
168	40.29797643
169	40.29781557
170	40.29725709
171	40.29543746
172	40.29513247
173	40.29409843
174	40.29389808
175	40.29318393
176	40.29278079
177	40.292701
178	40.29207367
179	40.29146579
180	40.29146578
181	40.29116617
182	40.29046428
183	40.29046427
184	40.29008132
185	40.2898659
186	40.28930764
187	40.28914505
188	40.28775165
189	40.28732537
190	40.2873152
191	40.28686416
192	40.28685873
193	40.28476884
194	40.2845656
195	40.28414221
196	40.28317319
197	40.28284179
198	40.28216824
199	40.2821621
200	40.28187475
201	40.28042974
202	40.2792999
203	40.27920133
204	40.27810855
205	40.27788016
206	40.27761604
207	40.27669791
208	40.27646844
209	40.27625436
210	40.27625434
211	40.27554607
212	40.27513442
213	40.27497976
214	40.27444202
215	40.27303544
216	40.27299087
217	40.27288077
218	40.27155161
219	40.27144211
220	40.27097737
221	40.27018414
222	40.27011591
223	40.26946887
224	40.26878763
225	40.26878762
226	40.26851757
227	40.26838664
228	40.26829956
229	40.26829785
230	40.26764015
231	40.2676372
232	40.26654312
233	40.26552771
234	40.26548623
235	40.26525759
236	40.26525758
237	40.26469218
238	40.2644271
239	40.26377789
240	40.26345009
241	40.26312453
242	40.26311648
243	40.26311525
244	40.26274921
245	40.26176351
246	40.26176338
247	40.26173463
248	40.26011648
249	40.26003175
250	40.25985184
251	40.25985
252	40.25963503
253	40.25963503
254	40.25849477
255	40.25847382
256	40.25737558
257	40.25696894
258	40.25539879
259	40.254186
260	40.2539436
261	40.25336095
262	40.25325681
263	40.25275548
264	40.25275548
265	40.25239826
266	40.25154997
267	40.24986237
268	40.24881728
269	40.24830891
270	40.24816175
271	40.24808295
272	40.24665004
273	40.24631065
274	40.24573125
275	40.24573125
276	40.24560325
277	40.24410415
278	40.24347161
279	40.24281487
280	40.24279531
281	40.24261355
282	40.24253289
283	40.2420557
284	40.24107829
285	40.24056098
286	40.2405327
287	40.24053024
288	40.24021546
289	40.23983483
290	40.23928459
291	40.23873571
292	40.23853811
293	40.23853572
294	40.23763271
295	40.23720329
296	40.23687724
297	40.23687724
298	40.23615208
299	40.23615208
300	40.23578162
301	40.23561955
302	40.23557839
303	40.2355347
304	40.23521032
305	40.23521031
306	40.23493605
307	40.23432324
308	40.23417995
309	40.23417793
310	40.23414801
311	40.23351281
312	40.2331945
313	40.23306496
314	40.23196178
315	40.231946
316	40.23119419
317	40.23026664
318	40.22944044
319	40.22815167
320	40.22815167
321	40.22740895
322	40.22651622
323	40.22553574
324	40.22481808
325	40.22430258
326	40.22411869
327	40.22376182
328	40.22370415
329	40.22370415
330	40.22370414
331	40.22348321
332	40.2232394
333	40.22305352
334	40.22277387
335	40.22236783
336	40.22232668
337	40.22232668
338	40.22176235
339	40.22176235
340	40.22122453
341	40.22118034
342	40.22113544
343	40.22053719
344	40.22007789
345	40.21905749
346	40.21901618
347	40.21809635
348	40.21773326
349	40.21773326
350	40.21613479
351	40.21581093
352	40.21516489
353	40.21516489
354	40.21453141
355	40.2145314
